Gene Symbol,Gene stable ID,Cardiomyocytes-specific ennhancer (GFP+ only),X30kGFPpos1,X30kGFPpos2,X30kGFPpos3,X500kGFPneg4,X500kGFPneg5,X500kGFPneg6,ucsc_url
csrp1b,ENSDARG00000030980,chr6:54844222-54844517 (-25101);,9119,0,0,0,17,0,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A54838269%2D54845622
csrp3,ENSDARG00000101706,chr7:17483966-17484317 (-146717);,3471,0,11,43,44,66,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr7%3A16548219%2D16562202
cst3,ENSDARG00000007795,chr13:33903739-33904185 (+4426);,19718,0,65,335,437,519,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr13%3A33675556%2D33683913
cstf2,ENSDARG00000090788,chr14:42945606-42945905 (-24119);,18851,0,25,289,397,383,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr14%3A41361858%2D41388233
ctcf,ENSDARG00000056621,chr18:22094510-22094828 (+27947);,20490,0,107,3137,3992,4225,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr18%3A22285992%2D22295064
ctdnep1b,ENSDARG00000035781,chr7:72184182-72184596 (+17396);,4501,0,15,298,344,330,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr7%3A69449814%2D69467790
ctdp1,ENSDARG00000017522,chr19:12442729-12443222 (+27140);,22286,0,55,386,482,492,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr19%3A11632834%2D11846958
ctdsplb,ENSDARG00000062116,chr2:21168534-21168830 (+16182);,9706,0,116,829,733,964,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr2%3A21356242%2D21381406
cth1,ENSDARG00000057328,chr7:19286125-19287181 (+92681);,3516,0,0,31,13,32,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr7%3A17947217%2D17950315
cthl,ENSDARG00000032206,chr6:37303979-37304275 (+47665);,8706,0,2,8,24,7,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A37389683%2D37403444
ctnna2,ENSDARG00000024785,chr1:42508813-42509569 (-153045); chr1:43077298-43077659 (+415243),7,0,7,1107,1188,1367,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr1%3A42224769%2D43039672
ctnnb1,ENSDARG00000014571,chr16:7410538-7410877 (+48071); chr16:7134424-7134783 (+324175); chr16:7030807-7031178 (+427786); chr16:7006702-7007026 (+451915),284,0,512,3605,4020,4819,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr16%3A6182501%2D6205790
ctnnb2,ENSDARG00000023472,chr19:49638922-49639217 (+103810);,22999,0,71,723,847,656,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr19%3A47975916%2D47997424
ctnnd2b,ENSDARG00000003779,chr2:30207923-30208232 (+200496);,9955,0,7,1260,1045,1218,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr2%3A30554256%2D30693742
ctsba,ENSDARG00000055120,chr17:32789847-32790155 (-38660); chr17:32828255-32828550 (-258),24,0,80,345,280,354,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr17%3A32622931%2D32631514
ctsbb,ENSDARG00000101051,chr20:53411401-53412238 (+122902);,15724,0,59,23,4,24,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A52886927%2D52902720
ctsd,ENSDARG00000057698,chr18:16002996-16003467 (+210401); chr18:16208844-16209139 (+416161),42,0,132,1002,1078,1164,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr18%3A16133595%2D16146081
ctsh,ENSDARG00000041108,chr18:26058307-26058664 (-150200);,20542,0,1,53,35,42,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr18%3A26422124%2D26428525
ctsll,ENSDARG00000011701,chr5:25966309-25966604 (-8355); chr5:25999276-25999571 (+24612),2,0,17,6,0,6,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr5%3A24305877%2D24309667
cttnbp2nl,ENSDARG00000053179,chr8:28909348-28909643 (-198095); chr8:28757457-28757769 (-46212),4,0,84,230,222,258,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A48206535%2D48242713
ctu2,ENSDARG00000051851,chr7:56742258-56742587 (+186062);,4315,0,12,53,72,105,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr7%3A55292959%2D55325712
cuedc2,ENSDARG00000039365,chr13:30078558-30079851 (-70491); chr13:30186851-30187185 (+37322),47,0,4,100,169,141,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr13%3A29925397%2D29936259
cul1b,ENSDARG00000007691,chr24:18747680-18747999 (-798606); chr24:18393888-18394371 (-444896),93,0,166,1177,1271,1096,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr24%3A17364745%2D17400472
cxadr,ENSDARG00000043658,chr10:27715418-27715777 (-16015); chr10:27722013-27722476 (-9368); chr10:27774786-27775081 (+43321); chr10:27803967-27804611 (+72676),176,0,226,580,574,612,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr10%3A27096043%2D27158240
cxcl12a,ENSDARG00000037116,chr13:30970380-30970675 (-57472); chr13:31103725-31104071 (+75898),25,0,72,1198,1525,1461,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr13%3A30804367%2D30819715
cxcl12b,ENSDARG00000055100,chr22:27660736-27661047 (-93350); chr22:27511914-27512227 (+55471),25,0,37,796,1141,1135,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr22%3A26929554%2D26945493
cxcl14,ENSDARG00000056627,chr14:25726367-25727082 (-316388); chr14:25711270-25711729 (-301163); chr14:25531816-25532252 (-121697); chr14:25504254-25504839 (-94210); chr14:25487118-25487457 (-76951),47,0,183,262,238,343,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr14%3A24400799%2D24410673
cxcr4b,ENSDARG00000041959,chr9:10626476-10626841 (-291076); chr9:10702842-10704283 (-214172); chr9:10723164-10723953 (-194176); chr9:10752372-10752670 (-165214); chr9:10754931-10755227 (-162656); chr9:10817495-10817812 (-100081),7,0,10,197,264,318,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr9%3A10692905%2D10694930
cxxc5,ENSDARG00000078865,chr21:28412489-28412785 (-117371); chr21:28310903-28311306 (-15839); chr21:28279249-28279544 (+15869); chr21:28203062-28203625 (+91922),17,0,76,428,515,434,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr21%3A28863121%2D28920245
cyb5a,ENSDARG00000098589,chr24:3201978-3202387 (-32817); chr24:3237482-3237823 (+2653),11,0,95,245,368,343,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr24%3A2836307%2D2843107
cyb5d1,ENSDARG00000056007,chr7:21834901-21835295 (+112801);,3601,0,17,6,16,20,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr7%3A20771754%2D20778584
cyb5r2,ENSDARG00000051925,chr25:16308465-16308853 (+105939);,30785,0,2,19,8,31,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr25%3A16044734%2D16057539
cyb5r3,ENSDARG00000005891,chr4:10820837-10821132 (+54310);,361,0,23,61,72,67,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr4%3A11804675%2D11810799
cyc1,ENSDARG00000038075,chr6:50271574-50272053 (-61110);,9018,0,84,1458,1422,1473,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A50381347%2D50390089
cyfip1,ENSDARG00000044345,chr6:37689915-37690374 (+86584);,8719,0,539,1276,1297,1345,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A37655078%2D37730907
cyp17a1,ENSDARG00000033566,chr13:28829499-28829861 (+4887);,19571,0,3,32,46,62,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr13%3A28601195%2D28610965
cyp1b1,ENSDARG00000068934,chr13:42690210-42690565 (+26122); chr13:42755292-42755632 (+91196),43,0,123,351,441,534,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr13%3A42011285%2D42018948
cyp26a1,ENSDARG00000033999,chr12:9778287-9778583 (-65878);,21158,0,4,147,297,257,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr12%3A8954761%2D8958353
cyp26b1,ENSDARG00000077121,chr7:26404553-26404873 (-86672); chr7:26415401-26415867 (-75751); chr7:26432980-26433275 (-58257),98,0,138,366,388,443,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr7%3A25323742%2D25348597
cyp2aa1,ENSDARG00000099003,chr23:42881571-42881963 (+340);,25088,0,8,32,28,52,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr23%3A42434348%2D42451859
cyp2aa2,ENSDARG00000104811,chr23:42856510-42856882 (+5442);,25089,0,7,29,28,21,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr23%3A42454292%2D42466916
cyp2aa3,ENSDARG00000103347,chr23:42856510-42856882 (-22418); chr23:42786365-42786705 (+47743); chr23:42533156-42533451 (+300974); chr23:42400679-42400974 (+433451),0,0,0,33,27,13,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr23%3A42482137%2D42493876
cyp2aa8,ENSDARG00000104540,chr23:42909669-42910063 (+9655);,25085,0,29,35,45,78,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr23%3A42336142%2D42409339
cyp2aa9,ENSDARG00000098890,chr23:42909669-42910063 (-8063);,25083,0,0,6,2,5,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr23%3A42414652%2D42428299
cyp2k6,ENSDARG00000098995,chr3:12388063-12388525 (+62442);,6649,0,0,0,3,1,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr3%3A12816362%2D12826387
cyp3c1,ENSDARG00000015575,chr3:41268946-41269241 (-297780); chr3:41260028-41260324 (-288862); chr3:40998136-40998560 (-27034),49,0,61,251,283,256,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr3%3A40969242%2D40976582
cyth4b,ENSDARG00000103984,chr6:949432-949727 (-340699); chr6:929811-930106 (-321078),4,0,18,54,22,29,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A392815%2D409768
daam1b,ENSDARG00000009689,chr20:21970632-21970938 (+11418); chr20:21960301-21960806 (+21649); chr20:21920792-21921302 (+61156),44,0,266,1006,1014,1093,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A21815613%2D21994901
dab1a,ENSDARG00000059939,chr20:9067812-9068107 (-470911); chr20:8444073-8444368 (+152828); chr20:8437864-8438173 (+159030); chr20:8211191-8211486 (+385710),1,0,14,334,367,409,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A8122693%2D8443425
dab2ip,ENSDARG00000069484,chr5:35482258-35482935 (-39234); chr5:35411299-35411616 (+31905); chr5:35318645-35319042 (+124519),43,0,162,1558,1653,2115,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr8%3A12134127%2D12264521
dachc,ENSDARG00000003142,chr1:29751847-29752173 (-6749);,11411,0,43,225,271,329,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr1%3A30585140%2D30689004
dact1,ENSDARG00000101635,chr17:10745748-10746043 (-276978); chr17:10883136-10883582 (-139515); chr17:10983705-10984059 (-38992); chr17:11175565-11175947 (+152882); chr17:11181370-11181693 (+158658),22,0,218,1014,1340,1527,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr17%3A11007091%2D11015878
dact2,ENSDARG00000056986,chr13:43992624-43993030 (-36633);,19889,0,97,175,309,240,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr13%3A43400443%2D43407199
dad1,ENSDARG00000102105,chr2:51852758-51853111 (+90878); chr2:51950720-51951015 (+188811),88,0,234,1858,2025,2287,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr2%3A51640591%2D51644044
dag1,ENSDARG00000016153,chr22:35625498-35625794 (-389698); chr22:35852309-35852726 (-162826); chr22:35866005-35866302 (-149190); chr22:35871445-35871741 (-143751); chr22:36000553-36000988 (-14573),509,0,1487,10516,11464,13453,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr22%3A33131891%2D33194802
dao.3,ENSDARG00000035601,chr5:22018314-22018643 (-30079);,4945,0,0,9,10,15,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr5%3A20197138%2D20205075
dap,ENSDARG00000000069,chr24:23176071-23176366 (-464716); chr24:23135569-23135993 (-424278); chr24:22821361-22821666 (-110011); chr24:22704706-22705015 (+6642),12,0,31,378,383,408,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr24%3A22070290%2D22103585
dazl,ENSDARG00000036214,chr19:20899246-20899541 (-13462);,22450,0,0,0,1,0,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr19%3A20389104%2D20403871
dbf4,ENSDARG00000074796,chr16:45983503-45983886 (+1737);,14295,0,25,205,156,156,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr16%3A43139504%2D43150489
dbx1b,ENSDARG00000001859,chr25:14814077-14814463 (+46026);,30759,0,1,169,241,251,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr25%3A14507567%2D14510482
dcaf11,ENSDARG00000009868,chr24:12887914-12888327 (-2547);,28655,0,28,267,429,415,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr24%3A12963119%2D12983829
dcaf13,ENSDARG00000002267,chr16:47489999-47490294 (+18746);,14314,0,18,252,214,291,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr16%3A44653266%2D44673851
dcakd,ENSDARG00000061638,chr24:38463268-38463563 (-156502);,29084,0,1,25,34,41,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr24%3A36798558%2D36802891
dcp1b,ENSDARG00000045484,chr4:19244953-19245248 (+5338);,610,0,50,302,345,442,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr4%3A20302832%2D20314796
dcp2,ENSDARG00000104242,chr10:8700261-8700592 (+83813);,26444,0,11,207,353,319,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr10%3A6473092%2D6494070
dctd,ENSDARG00000036990,chr1:40198531-40198835 (+23302); chr1:39986860-39987156 (+234977),0,0,7,62,41,30,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr1%3A39813229%2D39859626
dctn1a,ENSDARG00000019743,chr7:1480192-1480551 (-408914); chr7:977820-978122 (+93487); chr7:905730-907152 (+165017),16,0,100,722,982,999,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr7%3A1062972%2D1108935
dcun1d1,ENSDARG00000099642,chr2:7443189-7443484 (+52503); chr2:7300875-7301347 (+194729),1,0,0,99,78,125,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr2%3A7698446%2D7711522
ddc,ENSDARG00000016494,chr16:9634600-9634895 (+5084);,13434,0,55,50,68,69,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr16%3A8298542%2D8342749
ddr1,ENSDARG00000078523,chr16:23675647-23675952 (+2123);,13713,0,82,424,444,405,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr16%3A21547583%2D21620949
ddx20,ENSDARG00000061204,chr8:29035827-29036156 (+76717);,16478,0,19,286,294,393,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr8%3A28241100%2D28259779
ddx27,ENSDARG00000091831,chr6:57195812-57196154 (+230556); chr6:56937372-56937870 (+488918),15,0,71,476,564,577,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A57436314%2D57476465
ddx43,ENSDARG00000022614,chr13:27730163-27730607 (-152462);,19550,0,51,99,101,181,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr13%3A27332656%2D27354033
ddx5,ENSDARG00000038068,chr3:25408932-25409454 (-32580); chr3:25381504-25382950 (-5614),411,0,824,5222,5451,6352,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr3%3A25269861%2D25275403
ddx51,ENSDARG00000025854,chr8:51213584-51213879 (-112223);,16869,0,6,76,140,159,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr8%3A49065348%2D49089382
decr1,ENSDARG00000003869,chr16:38198108-38198403 (+44032);,14138,0,26,76,135,82,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr16%3A36748538%2D36760156
dennd4a,ENSDARG00000062721,chr18:18849502-18849939 (+26131);,20406,0,591,3389,3584,4206,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr18%3A19044839%2D19103929
dennd5b,ENSDARG00000003789,chr4:15756349-15756773 (+18564);,503,0,97,1580,1706,1880,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr4%3A16649542%2D16706978
deptor,ENSDARG00000040930,chr16:16901000-16901295 (+17981); chr16:16908846-16909161 (+25837),1,0,6,69,47,71,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr16%3A14588141%2D14675907
derl3,ENSDARG00000033871,chr8:31764611-31764906 (-4687);,16545,0,6,35,39,19,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr8%3A30921403%2D30929638
desma,ENSDARG00000058656,chr9:7584614-7584941 (-3965);,12357,0,25,325,301,269,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr9%3A7515864%2D7539326
det1,ENSDARG00000098247,chr25:13810851-13811146 (+176772);,30690,0,5,122,60,45,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr25%3A12399046%2D12412704
dgcr8,ENSDARG00000035564,chr5:26199583-26200435 (+10637);,5100,0,36,570,509,557,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr5%3A24520437%2D24532386
dharma,ENSDARG00000040955,chr15:28309627-28309922 (+51812);,23731,0,0,26,34,24,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr15%3A29011290%2D29012493
dhcr7,ENSDARG00000103226,chr2:27954928-27955360 (+33931);,9915,0,22,263,317,197,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr2%3A28648888%2D28682476
dhps,ENSDARG00000003270,chr3:13217005-13217641 (+23002); chr3:13209717-13210051 (+30441); chr3:13194808-13195302 (+45270),13,0,39,75,147,128,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr3%3A13423935%2D13437817
dhrs3b,ENSDARG00000044803,chr11:29473094-29473489 (+18156); chr11:29465066-29467547 (+25141),1,0,11,61,83,113,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr11%3A28590733%2D28614608
dhrs9,ENSDARG00000019260,chr9:49786627-49786922 (-3274);,13166,0,0,12,22,17,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr9%3A48706038%2D48736388
dhx38,ENSDARG00000100013,chr7:70027342-70027637 (+224260); chr7:70087570-70088117 (+284614); chr7:70089489-70090982 (+287006),64,0,106,1066,1282,1336,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr7%3A67748939%2D67798770
dhx57,ENSDARG00000057660,chr13:7775110-7775591 (-58818);,19168,0,44,278,146,375,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr13%3A8320455%2D8353560
diaph2,ENSDARG00000076060,chr14:40619121-40619456 (-25378); chr14:40758598-40758949 (+114107); chr14:41173820-41174115 (+529301); chr14:41332660-41333029 (+688178); chr14:41476805-41477262 (+832367); chr14:41489259-41489614 (+844770),14,0,94,474,474,493,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr14%3A39255437%2D39957445
dido1,ENSDARG00000057940,chr11:18824786-18825082 (+152687);,27910,0,524,9501,10760,11743,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr11%3A18531984%2D18557929
dimt1l,ENSDARG00000005057,chr8:17898233-17898528 (+194369); chr8:17981317-17981816 (+277555),3,0,17,90,78,65,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr8%3A17184602%2D17193041
dio1,ENSDARG00000042112,chr8:18585020-18585357 (-23774);,16162,0,9,202,163,199,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr8%3A18039570%2D18042089
dio2,ENSDARG00000094857,chr17:17121777-17122072 (+407297); chr17:17123297-17124365 (+409203); chr17:17256286-17256696 (+541863),0,0,0,40,23,13,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr17%3A16873417%2D16876752
dip2ba,ENSDARG00000005350,chr23:27646035-27646380 (+36962);,24743,0,159,522,455,662,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr23%3A27358722%2D27442544
dip2c,ENSDARG00000062154,chr24:27975825-27976120 (+51861);,28924,0,99,691,886,1097,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr24%3A27023274%2D27223041
disc1,ENSDARG00000021895,chr13:50109596-50110002 (+13366); chr13:50024710-50025676 (+97972); chr13:49984065-49984495 (+138885); chr13:49763242-49763627 (+359730),18,0,315,405,374,393,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr13%3A49057081%2D49144881
disp1,ENSDARG00000044417,chr20:51934744-51935204 (-38110);,15690,0,105,439,456,505,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A51489195%2D51559419
disp2,ENSDARG00000042846,chr17:31212162-31212525 (-32042);,17656,0,7,94,149,332,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr17%3A31185276%2D31202280
dkk1a,ENSDARG00000014103,chr13:41723632-41723933 (+89223); chr13:41740015-41740344 (+105620),25,0,4,16,19,37,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr13%3A41022502%2D41026398
dkk1b,ENSDARG00000045219,chr12:7552943-7553439 (+403815);,21130,0,0,1,16,12,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr12%3A6465557%2D6467675
dlc,ENSDARG00000002336,chr15:19480184-19480902 (-50599);,23520,0,17,1307,1511,1631,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr15%3A20463448%2D20468302
dldh,ENSDARG00000008785,chr25:28250369-28250720 (-490851); chr25:27980273-27980653 (-220769); chr25:27927216-27927511 (-167670); chr25:27865303-27865603 (-105759),47,0,102,1114,1236,1347,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr25%3A26877705%2D26893006
dlg5,ENSDARG00000090949,chr13:16383191-16383544 (-8531); chr13:16425720-16426016 (+33969); chr13:16719728-16720116 (+328023); chr13:16723990-16724290 (+332241); chr13:17093683-17094905 (+702395); chr13:17110025-17110509 (+718368); chr13:17212789-17213084 (+821038),41,0,125,434,457,501,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr12%3A48841182%2D48887804
dlgap1a,ENSDARG00000014280,chr2:29353775-29355172 (+29522); chr2:29357162-29357457 (+32358),3,0,7,172,206,237,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr2%3A29491314%2D29692825
dll4,ENSDARG00000070425,chr20:28048142-28048629 (-226516); chr20:28052988-28053313 (-221751),121,0,284,1140,1504,1622,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A28245164%2D28257992
dmrt1,ENSDARG00000007349,chr5:46539499-46539928 (-23779);,5799,0,46,0,15,7,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr5%3A44944778%2D44991344
dmrt2b,ENSDARG00000070013,chr6:35431772-35432067 (-168313); chr6:35809463-35809758 (+209378),0,0,0,1,4,13,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A34213971%2D34220641
dmrta2,ENSDARG00000039412,chr8:16905435-16905895 (-127202);,16103,0,1,31,34,90,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr8%3A16257220%2D16259063
dnah7,ENSDARG00000060165,chr9:25969502-25969883 (+119320); chr9:25965269-25965564 (+123596),1,0,24,63,28,58,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr9%3A24951129%2D25055722
dnah9,ENSDARG00000103383,chr12:38836-39292 (-188077); chr12:46323-46760 (-180599),0,0,5,40,27,70,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr12%3A137149%2D145076
dnai1,ENSDARG00000100081,chr21:16875441-16876896 (-7315); chr21:16742462-16742917 (+126164),4,0,40,258,308,315,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr21%3A18292535%2D18304016
dnaja3a,ENSDARG00000058494,chr3:13194808-13195302 (+241410); chr3:13209717-13210051 (+256239); chr3:13217005-13217641 (+263678),5,0,30,206,151,241,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr3%3A11926030%2D11947672
dnaja3b,ENSDARG00000102295,chr22:26418308-26418770 (-63316); chr22:26431201-26431496 (-50506),2,0,9,67,110,83,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr22%3A25931782%2D25943267
dnajc11,ENSDARG00000102696,chr23:30574589-30575635 (-371304); chr23:30921262-30921566 (-25002),1,0,4,240,206,259,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr11%3A41110397%2D41132296
